DonorOrganization,RecipientCandidateNameNormalized,RecipientCandidateParty,DonorEntityType,total,,govtrack_id,
Children's International, Llc,Debra S Fischer,Republican,Individual,505,0,
Children's International, Llc,Jeff Flake,Republican,Individual,650,0,
Children's International, Llc,Rafael Edward Ted Cruz,Republican,Individual,1200,0,
Crompion International, Llc,William Cassidy,Republican,Individual,5200,0,
C & M International, Ltd,Rob Portman,\N,Individual,250,0,
Brokers International, Ltd.,Charles Grassley,Republican,Individual,1000,0,
C & M International, Ltd.,Rob Portman,\N,Individual,250,0,
Alliant International University,Al Franken,\N,Individual,1000,,412378,
Argonne National Laboratory,Al Franken,Democrat-Farm-Labor,Individual,250,,412378,
Berner International Corp,Al Franken,Democrat-Farm-Labor,Individual,2500,,412378,
Camris International,Al Franken,\N,Individual,2000,,412378,
Collectral International,Al Franken,Democrat-Farm-Labor,Individual,200,,412378,
Credit Union National Association,Al Franken,Democrat-Farm-Labor,,10000,,412378,
DORSEY NATIONAL FUND,Al Franken,\N,,7600,,412378,
ACA International,Amy Klobuchar,\N,,1000,,412242,
Berner International Corp,Amy Klobuchar,Democratic,Individual,500,,412242,
Credit Union National Association,Amy Klobuchar,Democratic,,7500,,412242,
DORSEY NATIONAL FUND,Amy Klobuchar,\N,,8750,,412242,
Anixter International,Andrea Zopp,Democratic,Individual,500,,0,
Airports Council International,Angus Stanley King Jr,Independent,Individual,1000,,412545,
Asa International Ltd.,Angus Stanley King Jr,Independent,Individual,500,,412545,
Cambio International,Angus Stanley King Jr,Independent,Individual,323,,412545,
Camden National Corporation,Angus Stanley King Jr,Independent,Individual,500,,412545,
Credit Union National Association,Angus Stanley King Jr,Independent,,10000,,412545,
ACA International,Arlen Specter,Republican,,5000,,0,
Axiom International Investors,Arlen Specter,Republican,Individual,300,,0,
Barthco International Inc.,Arlen Specter,Republican,Individual,3300,,0,
Baxter International,Arlen Specter,Republican,,1000,,0,
Bc International Group,Arlen Specter,Republican,Individual,1500,,0,
Choice Hotels International,Arlen Specter,Republican,Individual,1000,,0,
Credit Union National Association,Arlen Specter,Republican,,3000,,0,
Cruise Lines International Association,Arlen Specter,Republican,,0,,0,
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,Arlen Specter,Republican,,69,,0,
80-20 NATIONAL ASIAN AMERICAN PAC,Barbara Boxer,Democratic,,1000,,300011,
Arbonne International,Barbara Boxer,Democratic,Individual,250,,300011,
Armenian National Committee Pac,Barbara Boxer,Democratic,Unknown,2500,,300011,
Arminian National Committee Of America,Barbara Boxer,Democratic,Individual,250,,300011,
Australian Agency For International De,Barbara Boxer,Democratic,Individual,400,,300011,
Av International,Barbara Boxer,Democratic,Individual,1000,,300011,
Baxter International,Barbara Boxer,Democratic,Individual,2100,,300011,
Brookhaven National Laboratory,Barbara Boxer,Democratic,Individual,500,,300011,
City National Bank,Barbara Boxer,Democratic,Individual,400,,300011,
City National Corporation,Barbara Boxer,Democratic,Individual,1500,,300011,
Comcon International,Barbara Boxer,\N,Individual,2600,,300011,
Credit Union National Association,Barbara Boxer,Democratic,,10000,,300011,
Cruise Lines International Association,Barbara Boxer,Democratic,,2000,,300011,
Baxter International,Barbara Mikulski,Democratic,,2000,,300073,
Credit Union National Association,Barbara Mikulski,Democratic,,3500,,300073,
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,Barbara Mikulski,Democratic,,181,,300073,
American Defense International,Benjamin Cardin,Democratic,Individual,2000,,400064,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Benjamin Cardin,\N,,1500,,400064,
Baxter International,Benjamin Cardin,\N,,2000,,400064,
Building Owners and Managers Association International,Benjamin Cardin,Democratic,,1000,,400064,
Canadian National Railway,Benjamin Cardin,Democratic,Individual,1000,,400064,
Choice Hotels International,Benjamin Cardin,\N,Individual,7400,,400064,
Creative Associates International,Benjamin Cardin,Democratic,Individual,2500,,400064,
Credit Union National Association,Benjamin Cardin,\N,,1500,,400064,
Danya International,Benjamin Cardin,Democratic,Individual,1000,,400064,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Benjamin E Sasse,Republican,,5000,,412671,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Benjamin E Sasse,Republican,,1000,,412671,
Brinker International,Benjamin E Sasse,Republican,,1000,,412671,
Cash America International,Benjamin E Sasse,\N,,1000,,412671,
Credit Union National Association,Benjamin E Sasse,\N,,11500,,412671,
Credit Union National Association,Bernard Sanders,Independent,,10000,,400357,
