name,state,term_year,govtrack_id
Benjamin Sasse,NE,0.9,"""412671"""
Mike Rounds,SD,0.9,"""412669"""
Thom Tillis,NC,0.9,"""412668"""
Joni Ernst,IA,0.9,"""412667"""
David Perdue,GA,0.9,"""412666"""
Dan Sullivan,AK,0.9,"""412665"""
Cory Booker,NJ,0.9,"""412598"""
Timothy Kaine,VA,2.9,"""412582"""
Ted Cruz,TX,2.9,"""412573"""
Deb Fischer,NE,2.9,"""412556"""
Heidi Heitkamp,ND,2.9,"""412554"""
Steve Daines,MT,0.9,"""412549"""
Angus King,ME,2.9,"""412545"""
Elizabeth Warren,MA,2.9,"""412542"""
Tom Cotton,AR,0.9,"""412508"""
Brian Schatz,HI,0.9,"""412507"""
Dean Heller,NV,2.9,"""412218"""
Ron Wyden,OR,4.9,"""300100"""
David Vitter,LA,4.9,"""400418"""
Patrick Toomey,PA,4.9,"""400408"""
John Thune,SD,4.9,"""400546"""
Richard Shelby,AL,4.9,"""300089"""
Tim Scott,SC,0.9,"""412471"""
Charles Schumer,NY,4.9,"""300087"""
Marco Rubio,FL,4.9,"""412491"""
Harry Reid,NV,4.9,"""300082"""
Robert Portman,OH,4.9,"""400325"""
Gary Peters,MI,0.9,"""412305"""
Rand Paul,KY,4.9,"""412492"""
Patty Murray,WA,4.9,"""300076"""
Christopher Murphy,CT,2.9,"""412194"""
Lisa Murkowski,AK,4.9,"""300075"""
Jerry Moran,KS,4.9,"""400284"""
Barbara Mikulski,MD,4.9,"""300073"""
John McCain,AZ,4.9,"""300071"""
Edward Markey,MA,0.9,"""400253"""
Mike Lee,UT,4.9,"""412495"""
Patrick Leahy,VT,4.9,"""300065"""
James Lankford,OK,0.9,"""412464"""
Mark Kirk,IL,4.9,"""400222"""
Ron Johnson,WI,4.9,"""412496"""
John Isakson,GA,4.9,"""400194"""
John Hoeven,ND,4.9,"""412494"""
Mazie Hirono,HI,2.9,"""412200"""
Martin Heinrich,NM,2.9,"""412281"""
Charles Grassley,IA,4.9,"""300048"""
Cory Gardner,CO,0.9,"""412406"""
Jeff Flake,AZ,2.9,"""400134"""
Joe Donnelly,IN,2.9,"""412205"""
Michael Crapo,ID,4.9,"""300030"""
Daniel Coats,IN,4.9,"""402675"""
Bill Cassidy,LA,0.9,"""412269"""
Shelley Capito,WV,0.9,"""400061"""
Richard Burr,NC,4.9,"""400054"""
Barbara Boxer,CA,4.9,"""300011"""
John Boozman,AR,4.9,"""400040"""
Roy Blunt,MO,4.9,"""400034"""
Richard Blumenthal,CT,4.9,"""412490"""
Michael Bennet,CO,4.9,"""412330"""
Tammy Baldwin,WI,2.9,"""400013"""
Kelly Ayotte,NH,4.9,"""412493"""
Joe Manchin,WV,2.9,"""412391"""
Chris Coons,DE,0.9,"""412390"""
Alan Franken,MN,0.9,"""412378"""
Kirsten Gillibrand,NY,2.9,"""412223"""
Mark Warner,VA,0.9,"""412321"""
Tom Udall,NM,0.9,"""400413"""
Jeanne Shaheen,NH,0.9,"""412323"""
Jefferson Sessions,AL,0.9,"""300088"""
Pat Roberts,KS,0.9,"""300083"""
James Risch,ID,0.9,"""412322"""
John Reed,RI,0.9,"""300081"""
Jeff Merkley,OR,0.9,"""412325"""
Mitch McConnell,KY,0.9,"""300072"""
James Inhofe,OK,0.9,"""300055"""
Lindsey Graham,SC,0.9,"""300047"""
Michael Enzi,WY,0.9,"""300041"""
Richard Durbin,IL,0.9,"""300038"""
John Cornyn,TX,0.9,"""300027"""
Susan Collins,ME,0.9,"""300025"""
Thad Cochran,MS,0.9,"""300023"""
Lamar Alexander,TN,0.9,"""300002"""
Roger Wicker,MS,2.9,"""400432"""
John Barrasso,WY,2.9,"""412251"""
Sheldon Whitehouse,RI,2.9,"""412247"""
Jon Tester,MT,2.9,"""412244"""
Debbie Stabenow,MI,2.9,"""300093"""
Bernard Sanders,VT,2.9,"""400357"""
Bill Nelson,FL,2.9,"""300078"""
Robert Men̩ndez,NJ,2.9,"""400272"""
Claire McCaskill,MO,2.9,"""412243"""
Amy Klobuchar,MN,2.9,"""412242"""
Orrin Hatch,UT,2.9,"""300052"""
Dianne Feinstein,CA,2.9,"""300043"""
Bob Corker,TN,2.9,"""412248"""
Robert Casey,PA,2.9,"""412246"""
Thomas Carper,DE,2.9,"""300019"""
Benjamin Cardin,MD,2.9,"""400064"""
Maria Cantwell,WA,2.9,"""300018"""
Sherrod Brown,OH,2.9,"""400050"""
