DonorOrganization,RecipientCandidateNameNormalized,Total,bioguide_id,thomas_id,govtrack_id,fec_id,fec_id2,fec_id3
Self Employed,Roy Blunt,929695,B000575,1464,400034,S0MO00183,H6MO07128,
Homemaker,Bill Nelson,927158,N000032,859,300078,S8FL00166,,
Self Employed,Rob Portman,913794,P000449,924,400325,S0OH00133,H4OH02032,
Self Employed,David Vitter,899033,V000127,1609,400418,S4LA00057,H0LA01079,
Self Employed,Robert Casey,898056,C001070,1828,412246,S6PA00217,,
Self Employed,Maria Cantwell,886434,C000127,172,300018,S8WA00194,H2WA01054,
Self Employed,Debbie Ann Stabenow,852695,S000770,1531,300093,S8MI00281,H6MI08163,
Homemaker,John Mccain,843048,M000303,754,300071,S6AZ00019,P80002801,
Self Employed,Richard Blumenthal,838871,B001277,2076,412490,S0CT00177,,
Self Employed,Richard Durbin,838166,D000563,326,300038,S6IL00151,H2IL20026,
Homemaker,Rob Portman,836662,P000449,924,400325,S0OH00133,H4OH02032,
Not Employed,Brian Emanuel Schatz,833729,S001194,2173,412507,S4HI00136,H6HI02244,
None,Elizabeth Warren,817013,W000817,2182,412542,S2MA00170,,
Self Employed,Lindsey Graham,807102,G000359,452,300047,S0SC00149,H4SC03087,
Retired,Claire Mccaskill,799990,M001170,1820,412243,S6MO00305,P80005721,
Not Employed,Jeffrey Alan Merkley,787571,M001176,1900,412325,S8OR00207,,
Not Available,Michael F Bennet,782804,B001267,1965,412330,S0CO00211,,
Self Employed,Thom R Tillis,764708,T000476,2291,412668,S4NC00162,,
Self Employed,John Thune,762281,T000250,1534,400546,S2SD00068,H6SD00085,
Self Employed,Martin Heinrich,758514,H001046,1937,412281,S2NM00088,H8NM01224,
Retired,Jon Tester,715466,T000464,1829,412244,S6MT00162,,
Self Employed,John Isakson,708663,I000055,1608,400194,S6GA00119,H8GA06146,
Self Employed,Ron Wyden,694461,W000779,1247,300100,S6OR00110,H0OR03026,
Not Available,Bernard Sanders,687314,S000033,1010,400357,S4VT00033,H8VT01016,
Self Employed,Jeff Flake,680254,F000444,1633,400134,S2AZ00141,H0AZ01184,
None,Dianne Feinstein,679968,F000062,1332,300043,S0CA00199,,
Not Available,Christopher Murphy,672595,M001169,1837,412194,S2CT00132,H6CT05124,
Not Available,Benjamin Cardin,658049,C000141,174,400064,S6MD03177,H6MD03177,
Not Available,Orrin Hatch,656173,H000338,1351,300052,S6UT00063,P00003806,
Retired,Rafael Edward Ted Cruz,655874,C001098,2175,412573,S2TX00312,,
Self Employed,Jerry Moran,654718,M000934,1507,400284,S0KS00091,H6KS01096,
Retired,Patrick Joseph Toomey,651641,T000461,2085,400408,S4PA00121,H8PA15096,
Retired,Michael F Bennet,649343,B001267,1965,412330,S0CO00211,,
None,Christopher Murphy,645691,M001169,1837,412194,S2CT00132,H6CT05124,
Retired,Kelly A Ayotte,642280,A000368,2075,412493,S0NH00235,,
Self Employed,Dan Sullivan,631682,S001198,2290,412665,S4AK00214,,
Retired,Dean Heller,630105,H001041,1863,412218,S2NV00183,H6NV02164,
Self Employed,Timothy Scott,626595,S001184,2056,412471,S4SC00240,H0SC01279,
Not Available,Richard Burr,616630,B001135,153,400054,S4NC00089,H2NC05074,
Not Available,Sheldon Whitehouse,614433,W000802,1823,412247,S6RI00221,,
Self Employed,Richard Burr,612109,B001135,153,400054,S4NC00089,H2NC05074,
Not Available,Amy Klobuchar,604071,K000367,1826,412242,S6MN00267,,
Not Employed,Heidi Heitkamp,603523,H001069,2174,412554,S2ND00099,,
Self Employed,Kelly A Ayotte,601778,A000368,2075,412493,S0NH00235,,
Homemaker,Thom R Tillis,589425,T000476,2291,412668,S4NC00162,,
Not Employed,Michael F Bennet,587565,B001267,1965,412330,S0CO00211,,
Self Employed,Pat Roberts,583382,R000307,968,300083,S6KS00080,H0KS01016,
Self Employed,Jeffrey Alan Merkley,582825,M001176,1900,412325,S8OR00207,,
Retired,Rob Portman,573309,P000449,924,400325,S0OH00133,H4OH02032,
Self Employed,Ronald Harold Johnson,571923,J000293,2086,412496,S0WI00197,,
Self Employed,Heidi Heitkamp,565714,H001069,2174,412554,S2ND00099,,
Unknown,Orrin Hatch,557239,H000338,1351,300052,S6UT00063,P00003806,
Cruz, Rafael Edward Ted,Rafael Edward Ted Cruz,545000,C001098,2175,412573,S2TX00312,,
Homemaker,Lamar Alexander,532820,A000360,1695,300002,S2TN00058,P60003225,
Homemaker,Barbara Boxer,531177,B000711,116,300011,S2CA00286,H2CA06028,P80003247
Self Employed,Brian Emanuel Schatz,528816,S001194,2173,412507,S4HI00136,H6HI02244,
Self Employed,Patrick Leahy,527951,L000174,1383,300065,S4VT00017,,
Self Employed,Susan Collins,509543,C001035,1541,300025,S6ME00159,,
Self Employed,Christopher A Coons,506774,C001088,1984,412390,S0DE00092,,
Retired,Benjamin E Sasse,500094,S001197,2289,412671,S4NE00090,,
Homemaker,Marco Rubio,498785,R000595,2084,412491,S0FL00338,,
None,Richard Durbin,496518,D000563,326,300038,S6IL00151,H2IL20026,
Retired,Debbie Ann Stabenow,496374,S000770,1531,300093,S8MI00281,H6MI08163,
Not Available,Martin Heinrich,495555,H001046,1937,412281,S2NM00088,H8NM01224,
Self Employed,Sheldon Whitehouse,476284,W000802,1823,412247,S6RI00221,,
Self Employed,Amy Klobuchar,472858,K000367,1826,412242,S6MN00267,,
Not Available,Mazie Hirono,472142,H001042,1844,412200,S2HI00106,H6HI02251,
Homemaker,Dean Heller,460416,H001041,1863,412218,S2NV00183,H6NV02164,
