DonorOrganization,RecipientCandidateNameNormalized,Total,bioguide_id,thomas_id,govtrack_id,fec_id,fec_id2,fec_id3
Homemaker,Timothy Scott,91200,S001184,2056,412471,S4SC00240,H0SC01279,
Paul Weiss Rifkind Wharton and Garrison LLP,Kirsten Gillibrand,90900,G000555,1866,412223,S0NY00410,H6NY20167,
Retired,Tom Udall,90837,U000039,1567,400413,S8NM00184,H8NM03097,
Fragomen, Del Rey, Bernsen & Loewy Llp,Charles Schumer,90650,S000148,1036,300087,S8NY00082,H0NY16010,
Retired,Tammy Baldwin,90550,B001230,1558,400013,S2WI00219,H8WI00018,
Bryan Cave,Claire Mccaskill,90068,M001170,1820,412243,S6MO00305,P80005721,
Blackstone,Mark Robert Warner,90000,W000805,1897,412321,S6VA00093,P80003023,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Ronald Harold Johnson,89400,J000293,2086,412496,S0WI00197,,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Roy Blunt,89400,B000575,1464,400034,S0MO00183,H6MO07128,
Unknown,Sherrod Brown,89308,B000944,136,400050,S6OH00163,H2OH13033,
Homemaker,John Hoeven,89151,H001061,2079,412494,S0ND00093,,
New York Life,Charles Schumer,87950,S000148,1036,300087,S8NY00082,H0NY16010,
Unknown,Barbara Boxer,87771,B000711,116,300011,S2CA00286,H2CA06028,P80003247
Procter & Gamble,Rob Portman,87570,P000449,924,400325,S0OH00133,H4OH02032,
Amazon.com,Patty Murray,87550,M001111,1409,300076,S2WA00189,,
Morgan & Morgan,Harry Reid,87300,R000146,952,300082,S6NV00028,,
Humana,Mitch Mcconnell,87100,M000355,1395,300072,S2KY00012,,
Susman Godfrey LLP,Al Franken,86810,F000457,1969,412378,S8MN00438,,
Skadden, Arps, Slate, Meagher & Flom,Kirsten Gillibrand,86700,G000555,1866,412223,S0NY00410,H6NY20167,
Burns & McDonnell,Pat Roberts,86550,R000307,968,300083,S6KS00080,H0KS01016,
MOVEON.ORG POLITICAL ACTION,Christopher Murphy,86362,M001169,1837,412194,S2CT00132,H6CT05124,
Homemaker,James Inhofe,86300,I000024,583,300055,S4OK00083,H6OK01102,
Elliott Management,Roy Blunt,86200,B000575,1464,400034,S0MO00183,H6MO07128,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Debra S Fischer,86200,F000463,2179,412556,S2NE00094,,
Goldman Sachs,Kirsten Gillibrand,85850,G000555,1866,412223,S0NY00410,H6NY20167,
Altria,Mark Robert Warner,84850,W000805,1897,412321,S6VA00093,P80003023,
Fidelity,Rob Portman,84500,P000449,924,400325,S0OH00133,H4OH02032,
Elliott Management,Rob Portman,83519,P000449,924,400325,S0OH00133,H4OH02032,
None,Patrick Leahy,83400,L000174,1383,300065,S4VT00017,,
Sullivan and Cromwell LLP,Cory A Booker,82600,B001288,2194,412598,S4NJ00185,,
Unknown,Jeanne Shaheen,82250,S001181,1901,412323,S0NH00219,,
Ernst & Young,Rob Portman,81850,P000449,924,400325,S0OH00133,H4OH02032,
Microsoft,Maria Cantwell,81724,C000127,172,300018,S8WA00194,H2WA01054,
Dominion,Mark Robert Warner,81720,W000805,1897,412321,S6VA00093,P80003023,
Deutsche Bank,Kirsten Gillibrand,80956,G000555,1866,412223,S0NY00410,H6NY20167,
Monsanto,Roy Blunt,80250,B000575,1464,400034,S0MO00183,H6MO07128,
emerson companies,Roy Blunt,80200,B000575,1464,400034,S0MO00183,H6MO07128,
Keystone Victory Fund,Robert Casey,80172,C001070,1828,412246,S6PA00217,,
Massachusetts Institute of Technology,Elizabeth Warren,80000,W000817,2182,412542,S2MA00170,,
JPMorgan Chase,Mark Robert Warner,79650,W000805,1897,412321,S6VA00093,P80003023,
None,Bernard Sanders,78760,S000033,1010,400357,S4VT00033,H8VT01016,
Northwestern Mutual,Roy Blunt,78150,B000575,1464,400034,S0MO00183,H6MO07128,
Lazard,Kirsten Gillibrand,77200,G000555,1866,412223,S0NY00410,H6NY20167,
Sullivan and Cromwell LLP,Shelley Capito,77200,C001047,1676,400061,S4WV00159,H0WV02138,
Retired,Lisa Murkowski,76650,M001153,1694,300075,S4AK00099,,
None,Jeff Flake,76525,F000444,1633,400134,S2AZ00141,H0AZ01184,
Fidelity,Kelly A Ayotte,76200,A000368,2075,412493,S0NH00235,,
Skadden, Arps, Slate, Meagher & Flom,Christopher A Coons,76200,C001088,1984,412390,S0DE00092,,
Homemaker,Thad Cochran,76100,C000567,213,300023,S8MS00055,,
Simmons Cooper,Claire Mccaskill,75975,M001170,1820,412243,S6MO00305,P80005721,
Cole Schotz,Cory A Booker,75298,B001288,2194,412598,S4NJ00185,,
Cleveland Clinic,Sherrod Brown,75287,B000944,136,400050,S6OH00163,H2OH13033,
University of California,Elizabeth Warren,75100,W000817,2182,412542,S2MA00170,,
Retired,Richard Shelby,74800,S000320,1049,300089,S6AL00013,,
Unknown,David Vitter,74651,V000127,1609,400418,S4LA00057,H0LA01079,
Google,Charles Schumer,74600,S000148,1036,300087,S8NY00082,H0NY16010,
Homemaker,John Cornyn,73825,C001056,1692,300027,S2TX00106,,
Blackstone,Michael F Bennet,73700,B001267,1965,412330,S0CO00211,,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,John Isakson,73000,I000055,1608,400194,S6GA00119,H8GA06146,
Latham & Watkins,Kirsten Gillibrand,72800,G000555,1866,412223,S0NY00410,H6NY20167,
Jenner and Block LLP,Richard Durbin,72585,D000563,326,300038,S6IL00151,H2IL20026,
Guardian Life Insurance Company of America,Charles Schumer,72450,S000148,1036,300087,S8NY00082,H0NY16010,
JPMorgan Chase,Kirsten Gillibrand,72150,G000555,1866,412223,S0NY00410,H6NY20167,
Enterprise Rent-a-Car Company,Roy Blunt,71850,B000575,1464,400034,S0MO00183,H6MO07128,
Kirkland & Ellis,Kirsten Gillibrand,71850,G000555,1866,412223,S0NY00410,H6NY20167,
Alliance Coal,Mitch Mcconnell,71600,M000355,1395,300072,S2KY00012,,
KKR & Co. L.P.,Rob Portman,70321,P000449,924,400325,S0OH00133,H4OH02032,
Blackrock Capital Management,Charles Schumer,70200,S000148,1036,300087,S8NY00082,H0NY16010,
None,Steven Daines,69825,D000618,2138,412549,S2MT00096,H2MT01060,
Madison Dearborn Partners,Mark Kirk,69400,K000360,1647,400222,S0IL00261,H0IL10120,
None,Mr James E Risch,68820,R000584,1896,412322,S8ID00092,,
Apple,Charles Schumer,68700,S000148,1036,300087,S8NY00082,H0NY16010,
Kirkland & Ellis,Cory A Booker,68600,B001288,2194,412598,S4NJ00185,,
Primerica,John Isakson,68050,I000055,1608,400194,S6GA00119,H8GA06146,
Citigroup,Rob Portman,67800,P000449,924,400325,S0OH00133,H4OH02032,
UPS,John Isakson,67150,I000055,1608,400194,S6GA00119,H8GA06146,
Retired,David Perdue,67125,P000612,2286,412666,S4GA11285,,
Lightyear Capital,Charles Schumer,67000,S000148,1036,300087,S8NY00082,H0NY16010,
U.S. Government,Elizabeth Warren,66798,W000817,2182,412542,S2MA00170,,
Goldman Sachs,Roy Blunt,66750,B000575,1464,400034,S0MO00183,H6MO07128,
Akin Gump,Timothy Michael Kaine,66550,K000384,2176,412582,S2VA00142,,
None,David Vitter,66140,V000127,1609,400418,S4LA00057,H0LA01079,
Ernst & Young,Charles Schumer,66100,S000148,1036,300087,S8NY00082,H0NY16010,
Nyu Langone Medical Center,Charles Schumer,66075,S000148,1036,300087,S8NY00082,H0NY16010,
Not Available,Benjamin E Sasse,65665,S001197,2289,412671,S4NE00090,,
University Of Virginia,Timothy Michael Kaine,65491,K000384,2176,412582,S2VA00142,,
Exelon,Patrick Joseph Toomey,65350,T000461,2085,400408,S4PA00121,H8PA15096,
None,Bill Nelson,65235,N000032,859,300078,S8FL00166,,
Not Employed,Mazie Hirono,65092,H001042,1844,412200,S2HI00106,H6HI02251,
Comcast,Robert Casey,64900,C001070,1828,412246,S6PA00217,,
Blackstone,Jon Tester,64800,T000464,1829,412244,S6MT00162,,
Homemaker,Timothy Michael Kaine,64750,K000384,2176,412582,S2VA00142,,
Law Offices of Peter G. Angelos ,Patrick Leahy,64650,L000174,1383,300065,S4VT00017,,
General Electric,Mitch Mcconnell,64455,M000355,1395,300072,S2KY00012,,
Kindred Healthcare,Mitch Mcconnell,64450,M000355,1395,300072,S2KY00012,,
Credit Suisse,Charles Schumer,64350,S000148,1036,300087,S8NY00082,H0NY16010,
Sullivan and Cromwell LLP,Charles Schumer,64200,S000148,1036,300087,S8NY00082,H0NY16010,
Goldman Sachs,Cory A Booker,63900,B001288,2194,412598,S4NJ00185,,
Homemaker,Lisa Murkowski,63900,M001153,1694,300075,S4AK00099,,
Akin Gump,Charles Schumer,63850,S000148,1036,300087,S8NY00082,H0NY16010,
DLA Piper,Cory A Booker,63700,B001288,2194,412598,S4NJ00185,,
The Durst Organization,Charles Schumer,63500,S000148,1036,300087,S8NY00082,H0NY16010,
American Express,Mitch Mcconnell,63250,M000355,1395,300072,S2KY00012,,
Apx Alarm,Mike Lee,63200,L000577,2080,412495,S0UT00165,,
Goldman Sachs,Kelly A Ayotte,63142,A000368,2075,412493,S0NH00235,,
FirstEnergy Corporation,Joe Manchin Iii,63100,M001183,1983,412391,S0WV00090,,
Unknown,Dan Sullivan,63045,S001198,2290,412665,S4AK00214,,
Retired,Roy Blunt,62850,B000575,1464,400034,S0MO00183,H6MO07128,
Boston University,Elizabeth Warren,62800,W000817,2182,412542,S2MA00170,,
Homemaker,Orrin Hatch,62467,H000338,1351,300052,S6UT00063,P00003806,
Jackson Kelly PLLC,Joe Manchin Iii,61475,M001183,1983,412391,S0WV00090,,
Deloitte,Charles Schumer,61300,S000148,1036,300087,S8NY00082,H0NY16010,
DaVita Health Care Partners,Mitch Mcconnell,61275,M000355,1395,300072,S2KY00012,,
Greenberg Traurig, LLP,John Mccain,60849,M000303,754,300071,S6AZ00019,P80002801,
Weitz & Luxenberg,Harry Reid,60700,R000146,952,300082,S6NV00028,,
Simmons Cooper,Richard Durbin,60600,D000563,326,300038,S6IL00151,H2IL20026,
Harris Corporation,Barbara Mikulski,60550,M000702,802,300073,S6MD00140,,
Goldman Sachs,Charles Schumer,60450,S000148,1036,300087,S8NY00082,H0NY16010,
The Ohio State University,Sherrod Brown,60400,B000944,136,400050,S6OH00163,H2OH13033,
Citigroup,Kirsten Gillibrand,60350,G000555,1866,412223,S0NY00410,H6NY20167,
General Electric,Lindsey Graham,60000,G000359,452,300047,S0SC00149,H4SC03087,
Prudential Financial,Cory A Booker,60000,B001288,2194,412598,S4NJ00185,,
Healthcare Partners,Harry Reid,59950,R000146,952,300082,S6NV00028,,
Womble Carlyle Sandridge & Ric,Richard Burr,59427,B001135,153,400054,S4NC00089,H2NC05074,
Goldman Sachs,Rafael Edward Ted Cruz,59350,C001098,2175,412573,S2TX00312,,
Greenberg Traurig, LLP,Robert Men�ndez,59300,M000639,791,400272,S6NJ00289,H2NJ13075,
York Capital Management,Charles Schumer,59200,S000148,1036,300087,S8NY00082,H0NY16010,
Nationwide Mutual Insurance Company,Rob Portman,58400,P000449,924,400325,S0OH00133,H4OH02032,
Prudential Financial,Robert Men�ndez,58250,M000639,791,400272,S6NJ00289,H2NJ13075,
Oberlin College,Sherrod Brown,58222,B000944,136,400050,S6OH00163,H2OH13033,
Akin Gump,Kirsten Gillibrand,58200,G000555,1866,412223,S0NY00410,H6NY20167,
Grant & Eisenhofer,Christopher A Coons,58116,C001088,1984,412390,S0DE00092,,
Ohio State University,Sherrod Brown,58030,B000944,136,400050,S6OH00163,H2OH13033,
Nelson Mullins Riley & Scarborough,Lindsey Graham,57974,G000359,452,300047,S0SC00149,H4SC03087,
NASDAQ OMX Group,Charles Schumer,57750,S000148,1036,300087,S8NY00082,H0NY16010,
Not Applicable,Roy Blunt,57300,B000575,1464,400034,S0MO00183,H6MO07128,
DTE Energy,Debbie Ann Stabenow,57250,S000770,1531,300093,S8MI00281,H6MI08163,
Simpson Thacher,Kirsten Gillibrand,57250,G000555,1866,412223,S0NY00410,H6NY20167,
Aflac,John Isakson,57100,I000055,1608,400194,S6GA00119,H8GA06146,
Boies, Schiller & Flexner,Bill Nelson,57063,N000032,859,300078,S8FL00166,,
Not Employed,Martin Heinrich,56903,H001046,1937,412281,S2NM00088,H8NM01224,
Fidelity,Patrick Joseph Toomey,56800,T000461,2085,400408,S4PA00121,H8PA15096,
Davis Polk & Wardwell Llp,Kirsten Gillibrand,56700,G000555,1866,412223,S0NY00410,H6NY20167,
Greenberg Traurig, LLP,Cory A Booker,56700,B001288,2194,412598,S4NJ00185,,
Student,Bill Nelson,56700,N000032,859,300078,S8FL00166,,
Federated Investors,Patrick Joseph Toomey,56550,T000461,2085,400408,S4PA00121,H8PA15096,
Delta Air Lines,John Isakson,56500,I000055,1608,400194,S6GA00119,H8GA06146,
Genworth Financial,Mark Robert Warner,56500,W000805,1897,412321,S6VA00093,P80003023,
Rothman Institute,Patrick Joseph Toomey,56490,T000461,2085,400408,S4PA00121,H8PA15096,
Retired,Sherrod Brown,56320,B000944,136,400050,S6OH00163,H2OH13033,
Paul Weiss Rifkind Wharton and Garrison LLP,Mitch Mcconnell,56250,M000355,1395,300072,S2KY00012,,
Willkie Farr & Gallagher,Kirsten Gillibrand,55680,G000555,1866,412223,S0NY00410,H6NY20167,
Sullivan and Cromwell LLP,Rafael Edward Ted Cruz,55613,C001098,2175,412573,S2TX00312,,
Aetna,Mark Robert Warner,55600,W000805,1897,412321,S6VA00093,P80003023,
Yale University,Christopher Murphy,55600,M001169,1837,412194,S2CT00132,H6CT05124,
Case Western Reserve University,Sherrod Brown,55500,B000944,136,400050,S6OH00163,H2OH13033,
Norfolk Southern,Mark Robert Warner,55401,W000805,1897,412321,S6VA00093,P80003023,
Goldman Sachs,Marco Rubio,55400,R000595,2084,412491,S0FL00338,,
Self Employed,Mr James E Risch,55384,R000584,1896,412322,S8ID00092,,
Unknown,Kelly A Ayotte,55212,A000368,2075,412493,S0NH00235,,
Cerberus Capital,Orrin Hatch,55200,H000338,1351,300052,S6UT00063,P00003806,
Paul Weiss Rifkind Wharton and Garrison LLP,Harry Reid,55200,R000146,952,300082,S6NV00028,,
Time Warner,Patrick Leahy,55100,L000174,1383,300065,S4VT00017,,
Northrop Grumman,Richard Durbin,55000,D000563,326,300038,S6IL00151,H2IL20026,
The Related Companies,Charles Schumer,55000,S000148,1036,300087,S8NY00082,H0NY16010,
Paul Weiss Rifkind Wharton and Garrison LLP,Debbie Ann Stabenow,54350,S000770,1531,300093,S8MI00281,H6MI08163,
Travelers Companies,Rob Portman,54350,P000449,924,400325,S0OH00133,H4OH02032,
Silver Lake Partners,Charles Schumer,54200,S000148,1036,300087,S8NY00082,H0NY16010,
Henry Crown & Company,Cory A Booker,54100,B001288,2194,412598,S4NJ00185,,
Bryan Cave,Roy Blunt,54058,B000575,1464,400034,S0MO00183,H6MO07128,
Freeport McMoRan Copper & Gold,John Mccain,54050,M000303,754,300071,S6AZ00019,P80002801,
Not Employed,Joe Manchin Iii,53950,M001183,1983,412391,S0WV00090,,
Florida Crystals,Marco Rubio,53460,R000595,2084,412491,S0FL00338,,
Retired,Orrin Hatch,53450,H000338,1351,300052,S6UT00063,P00003806,
American Electric Power,Rob Portman,53325,P000449,924,400325,S0OH00133,H4OH02032,
Blue Cross Blue Shield of Michigan,Debbie Ann Stabenow,53250,S000770,1531,300093,S8MI00281,H6MI08163,
Gibson Dunn and Crutcher LLP,Kirsten Gillibrand,53200,G000555,1866,412223,S0NY00410,H6NY20167,
Retired,John Cornyn,53175,C001056,1692,300027,S2TX00106,,
eton park capital management,Charles Schumer,53063,S000148,1036,300087,S8NY00082,H0NY16010,
University of Michigan,Debbie Ann Stabenow,52906,S000770,1531,300093,S8MI00281,H6MI08163,
BNSF Railway,Mitch Mcconnell,52900,M000355,1395,300072,S2KY00012,,
Akin Gump,Ron Wyden,52714,W000779,1247,300100,S6OR00110,H0OR03026,
Pershing Square Capital Management,Cory A Booker,52500,B001288,2194,412598,S4NJ00185,,
Fidelity,Mitch Mcconnell,52450,M000355,1395,300072,S2KY00012,,
Quinn Emanuel LLP,Kirsten Gillibrand,52250,G000555,1866,412223,S0NY00410,H6NY20167,
Dorsey and Whitney LLP,Amy Klobuchar,52100,K000367,1826,412242,S6MN00267,,
J.P. Morgan,Kirsten Gillibrand,52050,G000555,1866,412223,S0NY00410,H6NY20167,
Edward Jones,Roy Blunt,51800,B000575,1464,400034,S0MO00183,H6MO07128,
O C Tanner,Orrin Hatch,51510,H000338,1351,300052,S6UT00063,P00003806,
Goldman Sachs,Michael F Bennet,51300,B001267,1965,412330,S0CO00211,,
PPL Corporation,Patrick Joseph Toomey,50999,T000461,2085,400408,S4PA00121,H8PA15096,
Kleinberg, Kaplan,Thom R Tillis,50912,T000476,2291,412668,S4NC00162,,
Covington & Burling,Timothy Michael Kaine,50900,K000384,2176,412582,S2VA00142,,
mepco llc,Joe Manchin Iii,50800,M001183,1983,412391,S0WV00090,,
Lowenstein Sandler,Cory A Booker,50650,B001288,2194,412598,S4NJ00185,,
MetLife,Charles Schumer,50650,S000148,1036,300087,S8NY00082,H0NY16010,
MetLife,Mitch Mcconnell,50650,M000355,1395,300072,S2KY00012,,
None,Maria Cantwell,50425,C000127,172,300018,S8WA00194,H2WA01054,
Not Available,Mike Lee,50400,L000577,2080,412495,S0UT00165,,
Blank Rome,Robert Casey,50323,C001070,1828,412246,S6PA00217,,
Freeport McMoRan Copper & Gold,Jeff Flake,50250,F000444,1633,400134,S2AZ00141,H0AZ01184,
Access Industries,Charles Schumer,50100,S000148,1036,300087,S8NY00082,H0NY16010,
Charmer Sunbelt Group,Cory A Booker,50100,B001288,2194,412598,S4NJ00185,,
Thorton and Naumes,John Reed,50000,R000122,949,300081,S6RI00163,H0RI02071,
Homemaker,Claire Mccaskill,49983,M001170,1820,412243,S6MO00305,P80005721,
Unknown,Kirsten Gillibrand,49900,G000555,1866,412223,S0NY00410,H6NY20167,
Capital Group Companies,Rob Portman,49800,P000449,924,400325,S0OH00133,H4OH02032,
Edison International,Dianne Feinstein,49750,F000062,1332,300043,S0CA00199,,
kasowitz benson llp,Mark Kirk,49450,K000360,1647,400222,S0IL00261,H0IL10120,
Fiduciary Management,Ronald Harold Johnson,49250,J000293,2086,412496,S0WI00197,,
Paulson & Co.,Mitch Mcconnell,49200,M000355,1395,300072,S2KY00012,,
Select Medical,Patrick Joseph Toomey,49125,T000461,2085,400408,S4PA00121,H8PA15096,
New Breed,Thom R Tillis,49100,T000476,2291,412668,S4NC00162,,
The Durst Organization,Kirsten Gillibrand,49000,G000555,1866,412223,S0NY00410,H6NY20167,
Vornado Realty Trust,Charles Schumer,49000,S000148,1036,300087,S8NY00082,H0NY16010,
Not Employed,Christopher Murphy,48952,M001169,1837,412194,S2CT00132,H6CT05124,
Homemaker,Joni K Ernst,48937,E000295,2283,412667,S4IA00129,,
Indian Tribe,Jerry Moran,48900,M000934,1507,400284,S0KS00091,H6KS01096,
Homemaker,David Perdue,48850,P000612,2286,412666,S4GA11285,,
Reynolds American,Richard Burr,48725,B001135,153,400054,S4NC00089,H2NC05074,
Citigroup,Mitch Mcconnell,48700,M000355,1395,300072,S2KY00012,,
UBS,Kirsten Gillibrand,48695,G000555,1866,412223,S0NY00410,H6NY20167,
Cooney & Conway,Richard Durbin,48600,D000563,326,300038,S6IL00151,H2IL20026,
Hogan and Hartson LLP,Michael F Bennet,48600,B001267,1965,412330,S0CO00211,,
Ropes and Gray LLP,Elizabeth Warren,48500,W000817,2182,412542,S2MA00170,,
Morgan & Morgan,Jeanne Shaheen,48418,S001181,1901,412323,S0NH00219,,
Akin Gump,Michael F Bennet,48350,B001267,1965,412330,S0CO00211,,
Boeing,Claire Mccaskill,48350,M001170,1820,412243,S6MO00305,P80005721,
Weitz & Luxenberg, P.c.,Charles Schumer,48300,S000148,1036,300087,S8NY00082,H0NY16010,
morris nichols arsht and tunnell llp,Christopher A Coons,48300,C001088,1984,412390,S0DE00092,,
Unknown,Robert Casey,48220,C001070,1828,412246,S6PA00217,,
Navatek,Brian Emanuel Schatz,48200,S001194,2173,412507,S4HI00136,H6HI02244,
Forest City Enterprises,Sherrod Brown,48050,B000944,136,400050,S6OH00163,H2OH13033,
Capital One Financial Corporation,Roy Blunt,48000,B000575,1464,400034,S0MO00183,H6MO07128,
Travelers Companies,Richard Shelby,48000,S000320,1049,300089,S6AL00013,,
Barclays,Kirsten Gillibrand,47835,G000555,1866,412223,S0NY00410,H6NY20167,
Goldberg Persky & White, Pc,Robert Casey,47825,C001070,1828,412246,S6PA00217,,
AT&T,John Cornyn,47800,C001056,1692,300027,S2TX00106,,
U.S. Government,Claire Mccaskill,47746,M001170,1820,412243,S6MO00305,P80005721,
Debevoise and Plimpton LLP,Kirsten Gillibrand,47700,G000555,1866,412223,S0NY00410,H6NY20167,
Reed Smith LLP,Robert Casey,47650,C001070,1828,412246,S6PA00217,,
Welsh Carson Anderson Stowe,Bob Corker,47500,C001071,1825,412248,S6TN00216,S4TN00187,
Apollo Education Group,Harry Reid,47450,R000146,952,300082,S6NV00028,,
Sullivan and Cromwell LLP,Mike Lee,47335,L000577,2080,412495,S0UT00165,,
SCANA,Richard Burr,47325,B001135,153,400054,S4NC00089,H2NC05074,
None,Angus Stanley King Jr,47300,K000383,2185,412545,S2ME00109,,
Trident Seafoods,Lisa Murkowski,47300,M001153,1694,300075,S4AK00099,,
Kirkland & Ellis,Charles Schumer,47250,S000148,1036,300087,S8NY00082,H0NY16010,
Medline Industries,Mark Kirk,47200,K000360,1647,400222,S0IL00261,H0IL10120,
Comcast,Harry Reid,47100,R000146,952,300082,S6NV00028,,
The Simmons Law Firm,Richard Durbin,47000,D000563,326,300038,S6IL00151,H2IL20026,
Kaiser Permanente,Barbara Boxer,46955,B000711,116,300011,S2CA00286,H2CA06028,P80003247
Walmart,John Boozman,46850,B001236,1687,400040,S0AR00150,H2AR03176,
Ares Management LLC,Charles Schumer,46800,S000148,1036,300087,S8NY00082,H0NY16010,
Unknown,Thom R Tillis,46800,T000476,2291,412668,S4NC00162,,
General Atomics,Dianne Feinstein,46750,F000062,1332,300043,S0CA00199,,
Jones Day,Timothy Michael Kaine,46750,K000384,2176,412582,S2VA00142,,
U.S. Government,Kirsten Gillibrand,46750,G000555,1866,412223,S0NY00410,H6NY20167,
Union Pacific,Debra S Fischer,46750,F000463,2179,412556,S2NE00094,,
Peirson Patterson,Kirsten Gillibrand,46700,G000555,1866,412223,S0NY00410,H6NY20167,
Exelon,Mark Kirk,46650,K000360,1647,400222,S0IL00261,H0IL10120,
ExxonMobil,John Cornyn,46650,C001056,1692,300027,S2TX00106,,
Thorton and Naumes,Jon Tester,46600,T000464,1829,412244,S6MT00162,,
Target,Amy Klobuchar,46500,K000367,1826,412242,S6MN00267,,
Cox Enterprises,John Isakson,46400,I000055,1608,400194,S6GA00119,H8GA06146,
Dominion,Joe Manchin Iii,46400,M001183,1983,412391,S0WV00090,,
Ernst & Young,Mitch Mcconnell,46300,M000355,1395,300072,S2KY00012,,
Goldman Sachs,Dan Sullivan,46300,S001198,2290,412665,S4AK00214,,
U.S. Government,Michael F Bennet,46263,B001267,1965,412330,S0CO00211,,
Valero,John Cornyn,46250,C001056,1692,300027,S2TX00106,,
Arizona Public Service,John Mccain,46100,M000303,754,300071,S6AZ00019,P80002801,
Blackrock Capital Management,Mark Robert Warner,46100,W000805,1897,412321,S6VA00093,P80003023,
D. E. Shaw & Co.,Kirsten Gillibrand,46000,G000555,1866,412223,S0NY00410,H6NY20167,
Quinn Emanuel LLP,Cory A Booker,46000,B001288,2194,412598,S4NJ00185,,
Unknown,Bernard Sanders,45920,S000033,1010,400357,S4VT00033,H8VT01016,
Google,Ron Wyden,45800,W000779,1247,300100,S6OR00110,H0OR03026,
US Airways Group,Jeff Flake,45800,F000444,1633,400134,S2AZ00141,H0AZ01184,
Disney,Cory A Booker,45700,B001288,2194,412598,S4NJ00185,,
General Atomics,Thad Cochran,45700,C000567,213,300023,S8MS00055,,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Dan Sullivan,45400,S001198,2290,412665,S4AK00214,,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,David Perdue,45400,P000612,2286,412666,S4GA11285,,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Joni K Ernst,45400,E000295,2283,412667,S4IA00129,,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Lamar Alexander,45400,A000360,1695,300002,S2TN00058,P60003225,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Marion Michael Rounds,45400,R000605,2288,412669,S4SD00049,,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Pat Roberts,45400,R000307,968,300083,S6KS00080,H0KS01016,
Cozen O'Connor,Robert Casey,45375,C001070,1828,412246,S6PA00217,,
Estee Lauder Companies,Kirsten Gillibrand,45373,G000555,1866,412223,S0NY00410,H6NY20167,
DLA Piper,Susan Collins,45300,C001035,1541,300025,S6ME00159,,
SCANA,Lindsey Graham,45300,G000359,452,300047,S0SC00149,H4SC03087,
Akerman Senterfitt,Bill Nelson,45250,N000032,859,300078,S8FL00166,,
Jones Day,Rob Portman,45200,P000449,924,400325,S0OH00133,H4OH02032,
Simmons Cooper,Harry Reid,45200,R000146,952,300082,S6NV00028,,
Medistar Corporation,Orrin Hatch,45150,H000338,1351,300052,S6UT00063,P00003806,
Morgan Stanley,Mark Robert Warner,45100,W000805,1897,412321,S6VA00093,P80003023,
JPMorgan Chase,Rob Portman,45050,P000449,924,400325,S0OH00133,H4OH02032,
Boies, Schiller & Flexner,Charles Schumer,44850,S000148,1036,300087,S8NY00082,H0NY16010,
Homemaker,Jeff Flake,44840,F000444,1633,400134,S2AZ00141,H0AZ01184,
Hunton and Williams LLP,Timothy Michael Kaine,44839,K000384,2176,412582,S2VA00142,,
None,Robert Casey,44800,C001070,1828,412246,S6PA00217,,
PG&E,Lisa Murkowski,44750,M001153,1694,300075,S4AK00099,,
Skadden, Arps, Slate, Meagher & Flom,Timothy Michael Kaine,44750,K000384,2176,412582,S2VA00142,,
Susman Godfrey LLP,Barbara Boxer,44750,B000711,116,300011,S2CA00286,H2CA06028,P80003247
U.S. Government,Tammy Baldwin,44580,B001230,1558,400013,S2WI00219,H8WI00018,
American Income Life Insurance,Harry Reid,44500,R000146,952,300082,S6NV00028,,
Stanford University,Barbara Boxer,44500,B000711,116,300011,S2CA00286,H2CA06028,P80003247
WilmerHale,Charles Schumer,44500,S000148,1036,300087,S8NY00082,H0NY16010,
Self Employed,Steven Daines,44492,D000618,2138,412549,S2MT00096,H2MT01060,
Baron & Budd,Harry Reid,44400,R000146,952,300082,S6NV00028,,
Air Products and Chemicals,Robert Casey,44200,C001070,1828,412246,S6PA00217,,
Not Employed,Al Franken,44014,F000457,1969,412378,S8MN00438,,
Thorton and Naumes,Lindsey Graham,44000,G000359,452,300047,S0SC00149,H4SC03087,
U.S. Government,Richard Blumenthal,43937,B001277,2076,412490,S0CT00177,,
Elliott Management,Bob Corker,43750,C001071,1825,412248,S6TN00216,S4TN00187,
J.P. Morgan,Bob Corker,43750,C001071,1825,412248,S6TN00216,S4TN00187,
motley rice,Heidi Heitkamp,43750,H001069,2174,412554,S2ND00099,,
KPMG,Charles Schumer,43650,S000148,1036,300087,S8NY00082,H0NY16010,
Bloomberg,Charles Schumer,43600,S000148,1036,300087,S8NY00082,H0NY16010,
C.V. Starr & Co,Kirsten Gillibrand,43550,G000555,1866,412223,S0NY00410,H6NY20167,
Boyd Gaming Corporation,Harry Reid,43450,R000146,952,300082,S6NV00028,,
Harris Corporation,Bill Nelson,43450,N000032,859,300078,S8FL00166,,
